epsilon,stability_mean,stability_std
0.1,0.9855585562433482,0.0008214094061753881
0.5,0.9837649343359866,0.0009446036941321443
1.0,0.9840025464757982,0.001130539503306317
5.0,0.9853274883421413,0.0009974504438158111
inf,0.9972725167378617,0.00025809227700131237
