epsilon,utility_mean,utility_std,utility_norm,stability_mean,credibility_mean,trustworthiness_index
0.1,0.7158800000000001,0.005862218010275624,0.7158800000000001,0.9855585562433482,0.9511791749302058,0.8842059103911846
0.5,0.88066,0.005165500943761403,0.88066,0.9837649343359866,0.9527995019738938,0.9390748121032935
1.0,0.90818,0.0033367049614851864,0.90818,0.9840025464757982,0.9559043173874782,0.9493622879544255
5.0,0.9269999999999999,0.0015165750888102923,0.9269999999999999,0.9853274883421413,0.9621260602661433,0.9581511828694281
inf,0.9778600000000001,0.0016668533228811721,0.9778600000000001,0.9972725167378617,0.996560572379361,0.9905643630390741
