epsilon,credibility_mean,credibility_std
0.1,0.9511791749302058,0.00381975195309968
0.5,0.9527995019738938,0.0028247476884100116
1.0,0.9559043173874782,0.002476649870716831
5.0,0.9621260602661433,0.003271060272883307
inf,0.996560572379361,0.00038465408264017845
