model,mitigation,explainer,target,acc_id,acc_ood,id_mean_iou,id_deletion_auc_saliency,id_deletion_auc_random,ood_mean_iou,ood_deletion_auc_saliency,ood_deletion_auc_random
baseline,none,gradcam,pred,0.99399999999006,0.99699999999003,0.09877485036849976,0.49388250708580017,0.766768154501915,0.09905197471380234,0.4522634670138359,0.6693625196814537
mitigated,cutout,gradcam,pred,0.99399999999006,0.99999999999,0.09876922518014908,0.49138772785663604,0.7854826152324677,0.09705889225006104,0.4270401641726494,0.697884440422058
