model,mitigation,explainer,target,acc_id,acc_ood,id_mean_iou,id_deletion_auc_saliency,id_deletion_auc_random,ood_mean_iou,ood_deletion_auc_saliency,ood_deletion_auc_random
baseline,none,input_grad,pred,0.99399999999006,0.97899999999021,0.05491218715906143,0.5313772886991501,0.751814742386341,0.08277186751365662,0.5111149668693542,0.6614741832017899
mitigated,cutout,input_grad,pred,0.97499999999025,0.99999999999,0.06324982643127441,0.5185631215572357,0.7758714050054549,0.0892101302742958,0.4949168041348457,0.7004761189222337
