model,mitigation,explainer,target,acc_id,acc_ood,id_mean_iou,id_deletion_auc_saliency,id_deletion_auc_random,ood_mean_iou,ood_deletion_auc_saliency,ood_deletion_auc_random
baseline,none,gradcam,pred,0.99399999999006,0.9899999999901,0.09877298027276993,0.4939924627542496,0.7587315633893013,0.09890307486057281,0.4636442705988884,0.6646605759859086
mitigated,randomize,gradcam,pred,0.99699999999003,0.99499999999005,0.09876734763383865,0.497751197218895,0.7480286151170731,0.09549107402563095,0.4544922426342964,0.6550437241792678
